C:\Users\LUCASA~1\AppData\Local\Temp\RenderDoc\Unity_2025.07.06_16.29_capture_2.rdc - Frame #4294967295

 EID  | Event                                                                                                                                | Action #
1825  |           - BeginRenderPass(Resume, D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))                                                      | 162   
1827  |           - EndRenderPass(Preserve)                                                                                                  | 162   
1828  |           - BeginRenderPass(C=Preserve, DS=Preserve)                                                                                 | 162   
1831  |           - DrawTransparentObjects                                                                                                   |       
1834  |           - RG_SetupPostFX                                                                                                           |       
1837  |           - EndRenderPass(Suspend, C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))            | 162   
1838  |           - => ExecuteCommandLists(17)[12]: Close(Post Async resumed (Baked))                                                        | 162   
1839  |           - => ExecuteCommandLists(17)[13]: Reset(Async command list (RenderPass) (Baked))                                           | 162   
1840  |           - BeginRenderPass(Resume, C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))     | 162   
1842  |           - EndRenderPass(C=Preserve, DS=Preserve)                                                                                   | 162   
1844  |           - Bloom                                                                                                                    | 162-178
1845  |            \- RG_BloomPrefilter                                                                                                      |       
1858  |              \- DrawInstanced(3, 1)                                                                                                  | 162   
1860  |             - RG_BloomDownsample                                                                                                     | 163-172
1870  |              \- DrawInstanced(3, 1)                                                                                                  | 163   
1878  |               - DrawInstanced(3, 1)                                                                                                  | 164   
1888  |               - DrawInstanced(3, 1)                                                                                                  | 165   
1896  |               - DrawInstanced(3, 1)                                                                                                  | 166   
1906  |               - DrawInstanced(3, 1)                                                                                                  | 167   
1914  |               - DrawInstanced(3, 1)                                                                                                  | 168   
1924  |               - DrawInstanced(3, 1)                                                                                                  | 169   
1932  |               - DrawInstanced(3, 1)                                                                                                  | 170   
1942  |               - DrawInstanced(3, 1)                                                                                                  | 171   
1950  |               - DrawInstanced(3, 1)                                                                                                  | 172   
1952  |             - RG_BloomUpsample                                                                                                       | 173-177
1964  |              \- DrawInstanced(3, 1)                                                                                                  | 173   
1974  |               - DrawInstanced(3, 1)                                                                                                  | 174   
1984  |               - DrawInstanced(3, 1)                                                                                                  | 175   
1994  |               - DrawInstanced(3, 1)                                                                                                  | 176   
2003  |               - DrawInstanced(3, 1)                                                                                                  | 177   
2007  |           - RG_UberPostSetupBloomPass                                                                                                |       
2010  |           - BeginRenderPass(C=Preserve, DS=Discard)                                                                                  | 178   
2012  |           - RG_UberPost                                                                                                              |       
2022  |            \- DrawInstanced(3, 1)                                                                                                    | 178   
2025  |           - EndRenderPass(Suspend, C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))            | 179   
2026  |           - => ExecuteCommandLists(17)[13]: Close(Async command list (RenderPass) (Baked))                                           | 179   
2027  |           - => ExecuteCommandLists(17)[14]: Reset(Post Async resumed (Baked))                                                        | 179   
2028  |           - BeginRenderPass(Resume, C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))     | 179   
2030  |           - EndRenderPass(C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))                     | 179   
2032  |           - BeginRenderPass(C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))             | 179   
2034  |           - Copy Final Depth                                                                                                         | 179-180
2036  |            \- CopyDepth                                                                                                              | 179-180
2048  |              \- DrawInstanced(3, 1)                                                                                                  | 179   
2052  |           - EndRenderPass(Suspend, C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))            | 180   
2053  |           - => ExecuteCommandLists(17)[14]: Close(Post Async resumed (Baked))                                                        | 180   
2054  |           - => ExecuteCommandLists(17)[15]: Reset(Async command list (RenderPass) (Baked))                                           | 180   
2055  |           - BeginRenderPass(Resume, C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))     | 180   
2057  |           - EndRenderPass(C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))                     | 180   
2059  |           - BeginRenderPass(C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))             | 180   
2061  |           - DrawWireOverlay                                                                                                          |       
2062  |            \- DrawWireOverlay                                                                                                        |       
2066  |           - EndRenderPass(Suspend, C=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_ENDING_ACCESS_TYPE(4))            | 180   
2067  |           - => ExecuteCommandLists(17)[15]: Close(Async command list (RenderPass) (Baked))                                           | 180   
2068  |           - => ExecuteCommandLists(17)[16]: Reset(Baked Command List 133225)                                                         | 180   
2069  |           - BeginRenderPass(Resume, C=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4), DS=D3D12_RENDER_PASS_BEGINNING_ACCESS_TYPE(4))     | 180   
2071  |           - EndRenderPass(C=Preserve, DS=Preserve)                                                                                   | 180   
2073  |           - Set Editor Target                                                                                                        |       
2088  |       - DrawInstanced(768, 1)                                                                                                        | 180   
2092  |       - DrawInstanced(768, 1)                                                                                                        | 181   
2096  |       - DrawInstanced(716, 1)                                                                                                        | 182   
2098  |     - SceneCamera.Render                                                                                                             |       
2099  |      \- SceneCamera.RenderSelected                                                                                                   |       
2100  |        \- SceneCamera.RenderOutline                                                                                                  |       
2104  |     - Graphics.Blit                                                                                                                  |       
2118  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 183   
2120  |     - Graphics.Blit                                                                                                                  |       
2133  |      \- DrawIndexedInstanced(6, 1)                                                                                                   | 184   
2135  |     - SceneCamera.Finish                                                                                                             |       
